DataHora,MAC_Origem,MAC_Destino,EtherType,Tamanho
2025-06-23 10:05:20,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,297
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,96
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,153
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,136
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,139
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,97
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,105
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:20,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,105
2025-06-23 10:05:20,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:21,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:21,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:22,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:22,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,98
2025-06-23 10:05:22,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,98
2025-06-23 10:05:22,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0800,77
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,98
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,426
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,97
2025-06-23 10:05:23,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:23,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:23,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,98
2025-06-23 10:05:23,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:23,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,147
2025-06-23 10:05:23,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:24,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:24,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,98
2025-06-23 10:05:24,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,98
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,98
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,98
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,82
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,82
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,178
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,250
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,94
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,74
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,94
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,160
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,86
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,1514
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,175
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,74
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,54
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,81
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,97
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,81
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,109
2025-06-23 10:05:25,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,86
2025-06-23 10:05:25,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:26,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:26,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,91
2025-06-23 10:05:26,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,91
2025-06-23 10:05:28,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:28,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,425
2025-06-23 10:05:28,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,97
2025-06-23 10:05:28,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:28,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,147
2025-06-23 10:05:28,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0800,77
2025-06-23 10:05:28,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:28,e8:20:e2:cb:5f:ea,01:00:5e:00:00:01,0x0800,60
2025-06-23 10:05:28,e8:20:e2:cb:5f:ea,33:33:00:00:00:01,0x86dd,90
2025-06-23 10:05:28,60:a5:e2:e9:0a:61,33:33:00:00:00:16,0x86dd,170
2025-06-23 10:05:29,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:29,60:a5:e2:e9:0a:61,01:00:5e:00:00:16,0x0800,54
2025-06-23 10:05:29,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:30,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,105
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,90
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,105
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,90
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,78
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,182
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,86
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,181
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,160
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,117
2025-06-23 10:05:30,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,125
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,86
2025-06-23 10:05:30,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,125
2025-06-23 10:05:31,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,86
2025-06-23 10:05:32,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:32,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x86dd,145
2025-06-23 10:05:32,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x86dd,94
2025-06-23 10:05:33,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,425
2025-06-23 10:05:33,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,97
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:33,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:33,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,147
2025-06-23 10:05:33,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:33,e8:20:e2:cb:5f:ea,01:80:c2:00:00:13,0x893a,60
2025-06-23 10:05:34,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:34,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0800,77
2025-06-23 10:05:35,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:35,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:36,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
2025-06-23 10:05:38,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,425
2025-06-23 10:05:38,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,97
2025-06-23 10:05:38,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:38,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,66
2025-06-23 10:05:38,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:38,e8:20:e2:cb:5f:ea,60:a5:e2:e9:0a:61,0x0800,101
2025-06-23 10:05:38,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:38,60:a5:e2:e9:0a:61,e8:20:e2:cb:5f:ea,0x0800,66
2025-06-23 10:05:38,f8:77:b8:34:17:da,ff:ff:ff:ff:ff:ff,0x0806,60
